price,year,manufacturer,model,fuel,odometer,transmission
34500,2012,bmw,x6,gas,53723,automatic
3200,1988,chevrolet,s10 pickup,gas,191000,automatic
500,2021,,SPECIAL FINANCE PROGRAM 2020,other,1400,other
19990,2020,nissan,versa,gas,6591,automatic
26990,2020,nissan,frontier,gas,323,automatic
31988,2019,nissan,murano,gas,15566,automatic
11977,2009,toyota,venza,gas,76662,automatic
35990,2016,dodge,challenger r/t scat pack,other,18955,other
34990,2018,ram,1500 quad cab big horn,other,22064,other
38995,2012,ford,f-250 super duty,gas,9205,automatic
10500,2013,volkswagen,passat tdi sel,diesel,91000,automatic
18250,2016,ford,explorer xlt,gas,69000,automatic
19900,2017,ford,explorer xlt,gas,71000,automatic
10500,2014,volkswagen,jetta tdi,diesel,52000,automatic
3500,1994,ford,f450,diesel,190000,manual
31990,2016,chevrolet,silverado 1500,,107597,automatic
0,2016,jeep,wrangler unlimited,gas,83203,automatic
6800,2005,,blue bird bus,diesel,180000,automatic
5500,1999,,blue bird bus,diesel,220000,automatic
36990,2018,toyota,4runner sr5 sport utility,gas,21415,other
23590,2017,nissan,frontier king cab sv,gas,37091,other
17990,2013,subaru,xv crosstrek premium,gas,57371,other
30990,2017,nissan,frontier crew cab pro-4x,gas,31095,other
21590,2017,buick,regal premium ii sedan 4d,gas,14934,other
21990,2019,toyota,camry l sedan 4d,other,5607,other
16000,2016,dodge,charger,gas,62000,automatic
1500,2005,toyota,solara,gas,222100,automatic
4500,2005,acura,mdx,gas,279000,automatic
33995,2016,chevrolet,silverado 1500,gas,115000,automatic
40000,2017,chevrolet,tahoe,gas,68000,automatic
39900,2015,lincoln,,gas,51,automatic
10500,2008,infiniti,ex35,gas,122904,automatic
9500,2014,toyota,prius v hybrid,gas,136128,automatic
12900,2014,nissan,rogue sv,gas,120211,automatic
4275,2006,jeep,liberty,gas,174132,automatic
3200,2006,chevrolet,trailblazer,gas,178762,automatic
10000,2010,toyota,tundra,gas,180000,automatic
11995,2007,chevrolet,tahoe,gas,170865,automatic
3399,2006,buick,lacrosse,gas,160218,automatic
17995,2017,ram,promaster 1500 cargo van,gas,147064,automatic
3850,2010,volkswagen,jetta,gas,178000,automatic
3900,2009,hyundai,elantra,gas,162005,automatic
6000,2004,subaru,baja,gas,64000,automatic
15897,2018,chevrolet,malibu,gas,65950,other
0,2020,dodge,charger,gas,8428,automatic
